geoid,name,B17001001,"B17001001, Error",B17001002,"B17001002, Error",B17001003,"B17001003, Error",B17001004,"B17001004, Error",B17001005,"B17001005, Error",B17001006,"B17001006, Error",B17001007,"B17001007, Error",B17001008,"B17001008, Error",B17001009,"B17001009, Error",B17001010,"B17001010, Error",B17001011,"B17001011, Error",B17001012,"B17001012, Error",B17001013,"B17001013, Error",B17001014,"B17001014, Error",B17001015,"B17001015, Error",B17001016,"B17001016, Error",B17001017,"B17001017, Error",B17001018,"B17001018, Error",B17001019,"B17001019, Error",B17001020,"B17001020, Error",B17001021,"B17001021, Error",B17001022,"B17001022, Error",B17001023,"B17001023, Error",B17001024,"B17001024, Error",B17001025,"B17001025, Error",B17001026,"B17001026, Error",B17001027,"B17001027, Error",B17001028,"B17001028, Error",B17001029,"B17001029, Error",B17001030,"B17001030, Error",B17001031,"B17001031, Error",B17001032,"B17001032, Error",B17001033,"B17001033, Error",B17001034,"B17001034, Error",B17001035,"B17001035, Error",B17001036,"B17001036, Error",B17001037,"B17001037, Error",B17001038,"B17001038, Error",B17001039,"B17001039, Error",B17001040,"B17001040, Error",B17001041,"B17001041, Error",B17001042,"B17001042, Error",B17001043,"B17001043, Error",B17001044,"B17001044, Error",B17001045,"B17001045, Error",B17001046,"B17001046, Error",B17001047,"B17001047, Error",B17001048,"B17001048, Error",B17001049,"B17001049, Error",B17001050,"B17001050, Error",B17001051,"B17001051, Error",B17001052,"B17001052, Error",B17001053,"B17001053, Error",B17001054,"B17001054, Error",B17001055,"B17001055, Error",B17001056,"B17001056, Error",B17001057,"B17001057, Error",B17001058,"B17001058, Error",B17001059,"B17001059, Error"
01000US,United States,306226394,13324,47755606,278289,21461752,137499,2490954,24036,490559,7413,2702795,27301,1215723,11807,405967,5399,778331,8025,3226396,19956,2652791,16300,2157261,16955,2214365,16485,1803692,14058,770320,5897,552598,4569,26293854,144902,2401762,23885,476115,6897,2605990,28387,1163286,11429,397693,5918,778220,7686,3948036,19756,3980305,22466,3062228,20811,2680194,17494,2196724,13101,1234265,7503,1369036,7319,258470788,285653,128357063,140592,7555888,24612,1575837,10687,9653932,28198,5029599,15318,1730618,8223,3477742,12000,11029473,17612,17888955,17051,17576123,19240,19162891,18929,16589170,14074,10294994,7150,6791841,5971,130113725,149481,7216538,23475,1501383,9830,9235955,29207,4808149,18724,1641309,7347,3303540,11362,9877720,17571,16918342,23483,17324507,23113,19713477,19600,17714612,15103,11431693,7745,9426500,8648
04000US11,District of Columbia,599620,248,109378,3271,47341,1983,4835,538,819,196,4511,504,2373,341,737,154,1571,292,9147,794,6300,578,3355,421,5587,517,5033,472,1926,293,1147,217,62037,2030,4580,437,828,217,4227,516,2301,345,809,183,1741,249,11578,819,10863,656,6262,528,6590,548,5779,479,3027,346,3452,311,490242,3264,235852,2116,14519,558,2389,357,11558,533,4934,481,1625,223,3742,298,17878,905,57682,638,39248,488,31940,533,25396,509,15092,329,9849,328,254390,2077,14217,458,2290,316,11583,531,5011,440,1701,215,3639,282,19278,828,63351,684,37046,529,31242,556,30145,511,19042,357,15845,340
05000US11001,"District of Columbia, DC",599620,248,109378,3271,47341,1983,4835,538,819,196,4511,504,2373,341,737,154,1571,292,9147,794,6300,578,3355,421,5587,517,5033,472,1926,293,1147,217,62037,2030,4580,437,828,217,4227,516,2301,345,809,183,1741,249,11578,819,10863,656,6262,528,6590,548,5779,479,3027,346,3452,311,490242,3264,235852,2116,14519,558,2389,357,11558,533,4934,481,1625,223,3742,298,17878,905,57682,638,39248,488,31940,533,25396,509,15092,329,9849,328,254390,2077,14217,458,2290,316,11583,531,5011,440,1701,215,3639,282,19278,828,63351,684,37046,529,31242,556,30145,511,19042,357,15845,340
14000US11001000100,"Census Tract 1, District of Columbia, DC",5184,514,123,83,73,62,0,12,0,12,0,12,0,12,0,12,0,12,13,21,13,22,0,12,0,12,47,55,0,12,0,12,50,50,0,12,0,12,0,12,0,12,0,12,0,12,25,28,25,40,0,12,0,12,0,12,0,12,0,12,5061,505,2281,268,217,114,15,23,102,91,29,36,14,23,29,33,126,77,430,143,271,99,355,101,327,132,179,66,187,63,2780,345,178,101,19,31,280,126,17,26,13,20,44,72,174,143,635,174,395,117,277,96,360,137,234,95,154,75
14000US11001000201,"Census Tract 2.01, District of Columbia, DC",81,53,70,51,35,27,0,12,0,12,0,12,0,12,0,12,0,12,0,12,12,27,0,12,0,12,23,26,0,12,0,12,35,49,0,12,0,12,0,12,0,12,0,12,0,12,24,56,0,12,0,12,11,26,0,12,0,12,0,12,11,14,7,9,0,12,0,12,0,12,0,12,0,12,0,12,3,5,0,12,0,12,0,12,0,12,4,5,0,12,4,5,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,4,5,0,12,0,12
14000US11001000202,"Census Tract 2.02, District of Columbia, DC",3597,393,710,251,288,137,0,12,0,12,0,12,0,12,8,11,0,12,141,102,77,84,0,12,0,12,51,59,11,19,0,12,422,215,0,12,0,12,0,12,0,12,0,12,0,12,350,221,41,40,0,12,19,23,0,12,12,19,0,12,2887,292,1293,201,73,37,7,12,82,60,26,28,0,12,15,23,165,158,119,47,236,102,177,73,155,55,144,54,94,48,1594,193,81,50,7,11,55,41,27,25,24,28,5,10,155,101,342,105,194,62,192,62,221,71,221,68,70,47
14000US11001000300,"Census Tract 3, District of Columbia, DC",6079,646,729,363,340,317,0,17,0,17,0,17,16,26,0,17,0,17,240,305,72,76,0,17,12,20,0,17,0,17,0,17,389,161,0,17,0,17,11,18,0,17,0,17,0,17,163,106,126,121,10,17,14,22,15,24,14,22,36,41,5350,579,2577,465,176,92,0,17,149,67,21,21,0,17,70,68,299,280,646,356,521,116,256,120,233,92,145,94,61,40,2773,369,202,104,0,17,33,32,35,55,0,17,15,23,264,174,850,249,412,134,322,119,343,125,104,50,193,78
14000US11001000400,"Census Tract 4, District of Columbia, DC",1509,184,145,86,85,50,0,12,0,12,0,12,0,12,0,12,7,11,0,12,33,35,10,13,8,12,27,31,0,12,0,12,60,49,0,12,0,12,0,12,0,12,0,12,8,12,3,5,13,17,9,14,0,12,18,27,9,16,0,12,1364,160,700,98,6,10,0,12,105,47,35,35,15,24,5,9,39,37,74,44,97,39,81,29,78,34,90,42,75,30,664,91,10,19,0,12,35,28,23,19,4,7,28,20,14,15,54,34,67,24,122,45,171,52,85,33,51,32
14000US11001000501,"Census Tract 5.01, District of Columbia, DC",3284,502,327,183,133,89,0,12,14,24,0,12,0,12,0,12,0,12,51,61,13,21,10,17,6,14,39,53,0,12,0,12,194,158,0,12,18,31,18,31,0,12,0,12,0,12,81,97,37,49,34,38,0,12,6,14,0,12,0,12,2957,419,1317,186,50,58,0,12,0,12,0,12,0,12,0,12,88,59,594,165,291,127,73,45,94,59,52,47,75,57,1640,370,123,99,17,28,32,43,0,12,0,12,0,12,163,171,573,255,346,105,132,82,124,79,88,63,42,49
14000US11001000502,"Census Tract 5.02, District of Columbia, DC",3107,237,119,101,16,17,0,12,0,12,0,12,0,12,0,12,0,12,0,12,10,14,0,12,6,9,0,12,0,12,0,12,103,98,0,12,0,12,0,12,0,12,0,12,0,12,0,12,15,23,36,33,27,41,25,28,0,12,0,12,2988,223,1270,142,35,33,7,10,52,37,29,21,0,12,27,24,73,56,313,101,160,41,172,52,225,61,103,48,74,37,1718,164,73,43,0,12,69,33,39,26,28,21,39,27,140,83,477,161,220,73,230,58,187,63,117,45,99,57
