geoid,name,B03002001,"B03002001, Error",B03002002,"B03002002, Error",B03002003,"B03002003, Error",B03002004,"B03002004, Error",B03002005,"B03002005, Error",B03002006,"B03002006, Error",B03002007,"B03002007, Error",B03002008,"B03002008, Error",B03002009,"B03002009, Error",B03002010,"B03002010, Error",B03002011,"B03002011, Error",B03002012,"B03002012, Error",B03002013,"B03002013, Error",B03002014,"B03002014, Error",B03002015,"B03002015, Error",B03002016,"B03002016, Error",B03002017,"B03002017, Error",B03002018,"B03002018, Error",B03002019,"B03002019, Error",B03002020,"B03002020, Error",B03002021,"B03002021, Error"
01000US,United States,314107084,0,261036988,1539,197159492,8569,38460598,27806,2082768,7398,15536209,21025,493155,4158,611881,10486,6692885,45979,294346,6738,6398539,42819,53070096,1536,34690221,51065,1104187,15994,482752,10615,174450,5698,42606,2583,14143014,86711,2432866,37438,1234556,25814,1198310,16727
04000US11,District of Columbia,633736,0,571099,0,224184,250,308766,820,1384,190,22512,613,186,105,1311,286,12756,1114,836,264,11920,1050,62637,0,30771,1988,5372,899,688,357,273,129,9,15,22688,1797,2836,526,1179,252,1657,433
05000US11001,"District of Columbia, DC",633736,0,571099,0,224184,250,308766,820,1384,190,22512,613,186,105,1311,286,12756,1114,836,264,11920,1050,62637,0,30771,1988,5372,899,688,357,273,129,9,15,22688,1797,2836,526,1179,252,1657,433
14000US11001000100,"Census Tract 1, District of Columbia, DC",5184,514,4786,455,4359,479,44,55,13,21,301,131,0,12,28,43,41,47,0,12,41,47,398,216,375,216,0,12,0,12,0,12,0,12,23,36,0,12,0,12,0,12
14000US11001000201,"Census Tract 2.01, District of Columbia, DC",3844,755,3575,660,2535,555,379,192,0,12,506,161,0,12,8,19,147,108,17,28,130,104,269,180,201,169,23,31,0,12,11,26,0,12,9,21,25,34,17,38,8,19
14000US11001000202,"Census Tract 2.02, District of Columbia, DC",4551,625,4320,628,3825,584,172,88,9,19,205,113,0,12,0,12,109,60,6,13,103,61,231,104,179,104,0,12,0,12,26,45,0,12,26,25,0,12,0,12,0,12
14000US11001000300,"Census Tract 3, District of Columbia, DC",6079,646,5583,647,4947,591,57,74,26,38,395,214,32,53,0,17,126,109,70,99,56,46,496,236,328,212,17,26,35,45,0,17,0,17,70,81,46,72,0,17,46,72
14000US11001000400,"Census Tract 4, District of Columbia, DC",1527,184,1310,170,1025,154,85,77,0,12,121,78,0,12,0,12,79,57,0,12,79,57,217,105,209,100,8,13,0,12,0,12,0,12,0,12,0,12,0,12,0,12
14000US11001000501,"Census Tract 5.01, District of Columbia, DC",3361,514,2985,391,2475,332,110,65,125,127,182,99,0,12,0,12,93,86,0,12,93,86,376,240,307,231,17,28,0,12,0,12,0,12,0,12,52,51,37,44,15,25
14000US11001000502,"Census Tract 5.02, District of Columbia, DC",3107,237,2817,228,2456,231,118,64,0,12,150,80,0,12,39,39,54,45,0,12,54,45,290,115,220,101,0,12,0,12,9,14,0,12,7,11,54,45,36,41,18,21
14000US11001000600,"Census Tract 6, District of Columbia, DC",4537,414,4097,409,3444,361,321,171,0,12,275,116,0,12,3,8,54,59,0,12,54,59,440,194,241,119,90,95,0,12,0,12,0,12,43,61,66,94,66,94,0,12
14000US11001000701,"Census Tract 7.01, District of Columbia, DC",5236,433,4953,427,4171,420,183,117,0,12,384,163,0,12,0,12,215,220,15,25,200,220,283,145,194,123,0,12,0,12,0,12,0,12,42,62,47,58,47,58,0,12
14000US11001000702,"Census Tract 7.02, District of Columbia, DC",3384,330,3023,389,2555,385,183,126,20,34,213,151,0,12,0,12,52,49,16,25,36,44,361,213,185,152,0,12,0,12,0,12,0,12,176,112,0,12,0,12,0,12
14000US11001000801,"Census Tract 8.01, District of Columbia, DC",6738,586,6084,537,5070,499,412,247,0,17,321,135,0,17,0,17,281,125,4,10,277,128,654,296,345,129,17,26,16,26,0,17,0,17,226,202,50,63,0,17,50,63
14000US11001000802,"Census Tract 8.02, District of Columbia, DC",3077,297,2687,301,2153,249,197,217,0,12,165,119,0,12,0,12,172,110,33,44,139,103,390,186,324,160,51,72,0,12,0,12,0,12,15,24,0,12,0,12,0,12
14000US11001000901,"Census Tract 9.01, District of Columbia, DC",7771,690,6813,648,5689,602,678,259,0,17,310,124,0,17,0,17,136,79,14,21,122,77,958,274,755,252,35,34,6,11,0,17,0,17,117,75,45,68,0,17,45,68
