,AREALAND,AREAWATER,BASENAME,CENTLAT,CENTLON,COUNTY,FUNCSTAT,GEOID,HU100,INTPTLAT,INTPTLON,LSADC,MTFCC,NAME,OBJECTID,OID,POP100,STATE,TRACT,UR
0,579629,0,80.02,+38.8915424,-076.9827573,001,S,11001008002,1644,+38.8915424,-076.9827573,CT,G5020,Census Tract 80.02,23766,20740331304906,3031,11,008002,U
1,535254,0,78.09,+38.9015402,-076.9321955,001,S,11001007809,1339,+38.9015402,-076.9321955,CT,G5020,Census Tract 78.09,23770,20740331304811,2922,11,007809,U
2,543460,0,25.01,+38.9446515,-077.0317348,001,S,11001002501,1042,+38.9446515,-077.0317348,CT,G5020,Census Tract 25.01,24466,20740331303268,2554,11,002501,U
3,300647,0,29,+38.9338479,-077.0299131,001,S,11001002900,1643,+38.9338479,-077.0299131,CT,G5020,Census Tract 29,24471,20740331303383,3962,11,002900,U
4,603721,0,25.02,+38.9390574,-077.0301448,001,S,11001002502,2415,+38.9390574,-077.0301448,CT,G5020,Census Tract 25.02,24472,20740331303283,5973,11,002502,U
5,296909,0,31,+38.9306187,-077.0254232,001,S,11001003100,1131,+38.9306187,-077.0254232,CT,G5020,Census Tract 31,24473,20740331303419,2885,11,003100,U
6,338424,0,82,+38.8918309,-077.0006040,001,S,11001008200,1655,+38.8918309,-077.0006040,CT,G5020,Census Tract 82,23811,20740331304959,2918,11,008200,U
7,2010229,5298,23.02,+38.9338957,-077.0108780,001,S,11001002302,1573,+38.9341270,-077.0095843,CT,G5020,Census Tract 23.02,23772,20740331303233,2036,11,002302,U
8,693964,566,22.02,+38.9488463,-077.0138695,001,S,11001002202,1434,+38.9479653,-077.0118821,CT,G5020,Census Tract 22.02,23734,20740331303198,3087,11,002202,U
9,452924,0,27.01,+38.9344503,-077.0416857,001,S,11001002701,2845,+38.9344503,-077.0416857,CT,G5020,Census Tract 27.01,24478,20740331303317,5233,11,002701,U
10,1026343,0,95.04,+38.9409336,-076.9930948,001,S,11001009504,1354,+38.9409336,-076.9930948,CT,G5020,Census Tract 95.04,23735,20740331302556,3025,11,009504,U
11,726388,0,21.02,+38.9557857,-077.0142326,001,S,11001002102,2173,+38.9557857,-077.0142326,CT,G5020,Census Tract 21.02,23736,20740331303166,4648,11,002102,U
12,412610,0,23.01,+38.9425896,-077.0165738,001,S,11001002301,1168,+38.9425896,-077.0165738,CT,G5020,Census Tract 23.01,23737,20740331303215,2974,11,002301,U
13,415172,0,22.01,+38.9491337,-077.0232932,001,S,11001002201,1186,+38.9491337,-077.0232932,CT,G5020,Census Tract 22.01,23732,20740331303181,3442,11,002201,U
14,2112828,103954,26,+38.9452721,-077.0425316,001,S,11001002600,1001,+38.9464323,-077.0404553,CT,G5020,Census Tract 26,24457,20740331303300,2166,11,002600,U
15,290283,0,81,+38.8931710,-076.9925272,001,S,11001008100,1549,+38.8931710,-076.9925272,CT,G5020,Census Tract 81,23757,20740331304827,2910,11,008100,U
16,1430008,32262,90,+38.9229092,-076.9540289,001,S,11001009000,1646,+38.9244993,-076.9561695,CT,G5020,Census Tract 90,23808,20740331304923,2732,11,009000,U
17,486440,16260,27.02,+38.9301735,-077.0417945,001,S,11001002702,2565,+38.9301680,-077.0421774,CT,G5020,Census Tract 27.02,24458,20740331303334,5226,11,002702,U
18,322795,0,80.01,+38.8961726,-076.9866524,001,S,11001008001,1391,+38.8961726,-076.9866524,CT,G5020,Census Tract 80.01,23758,20740331304884,2784,11,008001,U
19,401370,0,79.01,+38.8965597,-076.9804312,001,S,11001007901,1784,+38.8965597,-076.9804312,CT,G5020,Census Tract 79.01,23760,20740331304846,3822,11,007901,U
20,247945,0,79.03,+38.8964252,-076.9743021,001,S,11001007903,880,+38.8964252,-076.9743021,CT,G5020,Census Tract 79.03,23761,20740331304866,1774,11,007903,U
21,556234,0,24,+38.9417839,-077.0224053,001,S,11001002400,1384,+38.9417839,-077.0224053,CT,G5020,Census Tract 24,23764,20740331303252,3618,11,002400,U
22,171911,0,28.01,+38.9349477,-077.0345166,001,S,11001002801,1820,+38.9349477,-077.0345166,CT,G5020,Census Tract 28.01,24461,20740331303351,3773,11,002801,U
23,229694,0,28.02,+38.9294344,-077.0346327,001,S,11001002802,2142,+38.9294344,-077.0346327,CT,G5020,Census Tract 28.02,24462,20740331303368,4277,11,002802,U
24,210638,0,30,+38.9288689,-077.0299525,001,S,11001003000,1599,+38.9288689,-077.0299525,CT,G5020,Census Tract 30,24463,20740331303401,3398,11,003000,U
25,292371,0,37,+38.9228614,-077.0343330,001,S,11001003700,2570,+38.9228614,-077.0343330,CT,G5020,Census Tract 37,28525,20740331303542,5763,11,003700,U
26,356113,0,38,+38.9216348,-077.0391794,001,S,11001003800,2861,+38.9216348,-077.0391794,CT,G5020,Census Tract 38,28528,20740331303560,4614,11,003800,U
27,302795,0,92.04,+38.9234140,-076.9987721,001,S,11001009204,1369,+38.9234140,-076.9987721,CT,G5020,Census Tract 92.04,27354,20740331305265,2557,11,009204,U
28,1835339,453,91.02,+38.9187837,-076.9889904,001,S,11001009102,1854,+38.9169631,-076.9908188,CT,G5020,Census Tract 91.02,27312,20740331305246,4127,11,009102,U
29,640834,0,92.01,+38.9287750,-076.9989367,001,S,11001009201,619,+38.9287750,-076.9989367,CT,G5020,Census Tract 92.01,27314,20740331305227,1976,11,009201,U
30,581089,0,92.03,+38.9219735,-077.0054956,001,S,11001009203,1259,+38.9219735,-077.0054956,CT,G5020,Census Tract 92.03,27356,20740331305290,2582,11,009203,U
31,937117,28,95.08,+38.9538614,-076.9984569,001,S,11001009508,1742,+38.9542721,-076.9997922,CT,G5020,Census Tract 95.08,28621,20740331305436,3290,11,009508,U
32,469972,0,87.02,+38.9149406,-077.0014531,001,S,11001008702,902,+38.9149406,-077.0014531,CT,G5020,Census Tract 87.02,26667,20740331305086,1599,11,008702,U
33,382687,0,87.01,+38.9141018,-077.0062645,001,S,11001008701,972,+38.9141018,-077.0062645,CT,G5020,Census Tract 87.01,26668,20740331305062,2407,11,008701,U
34,274180,0,84.02,+38.8985960,-076.9910210,001,S,11001008402,1270,+38.8985960,-076.9910210,CT,G5020,Census Tract 84.02,26017,20740331305014,2149,11,008402,U
35,219938,0,84.10,+38.9015543,-076.9911234,001,S,11001008410,681,+38.9015543,-076.9911234,CT,G5020,Census Tract 84.10,26018,20740331305030,1489,11,008410,U
36,260891,0,83.02,+38.8963061,-076.9966527,001,S,11001008302,1032,+38.8963061,-076.9966527,CT,G5020,Census Tract 83.02,26019,20740331304998,2206,11,008302,U
37,303974,0,83.01,+38.8970373,-077.0008008,001,S,11001008301,1154,+38.8970373,-077.0008008,CT,G5020,Census Tract 83.01,26020,20740331304980,2279,11,008301,U
38,431383,17249,98.01,+38.8338343,-076.9963778,001,S,11001009801,766,+38.8328939,-076.9963306,CT,G5020,Census Tract 98.01,27325,20740331305210,1575,11,009801,U
39,1231590,0,106,+38.9033120,-077.0033103,001,S,11001010600,1927,+38.9033120,-077.0033103,CT,G5020,Census Tract 106,26024,20740331305046,3933,11,010600,U
40,468578,0,88.02,+38.9039498,-076.9866786,001,S,11001008802,1999,+38.9039498,-076.9866786,CT,G5020,Census Tract 88.02,26725,20740331305107,4119,11,008802,U
41,306230,0,89.03,+38.9041508,-076.9777283,001,S,11001008903,1399,+38.9041508,-076.9777283,CT,G5020,Census Tract 89.03,26727,20740331305157,2633,11,008903,U
42,448764,0,89.04,+38.9009815,-076.9748406,001,S,11001008904,1788,+38.9009815,-076.9748406,CT,G5020,Census Tract 89.04,26730,20740331305174,3309,11,008904,U
43,5715826,365541,111,+38.9161282,-076.9664807,001,S,11001011100,1868,+38.9158612,-076.9681631,CT,G5020,Census Tract 111,26700,20740331305191,4859,11,011100,U
44,398354,0,93.02,+38.9251412,-076.9908482,001,S,11001009302,545,+38.9251412,-076.9908482,CT,G5020,Census Tract 93.02,27976,20740331305347,1189,11,009302,U
45,305616,0,36,+38.9236744,-077.0296273,001,S,11001003600,2308,+38.9236744,-077.0296273,CT,G5020,Census Tract 36,27977,20740331303525,4208,11,003600,U
46,1097297,0,93.01,+38.9307514,-076.9864052,001,S,11001009301,1230,+38.9307514,-076.9864052,CT,G5020,Census Tract 93.01,27978,20740331305326,3143,11,009301,U
47,778052,0,88.04,+38.9102408,-076.9812669,001,S,11001008804,1396,+38.9102408,-076.9812669,CT,G5020,Census Tract 88.04,26731,20740331305141,2412,11,008804,U
48,1165234,0,88.03,+38.9104631,-076.9913346,001,S,11001008803,612,+38.9104631,-076.9913346,CT,G5020,Census Tract 88.03,26734,20740331305126,2037,11,008803,U
49,204236,0,33.02,+38.9139237,-077.0111677,001,S,11001003302,982,+38.9139237,-077.0111677,CT,G5020,Census Tract 33.02,27919,20740331303472,2134,11,003302,U
50,442119,0,33.01,+38.9204778,-077.0114293,001,S,11001003301,1578,+38.9204778,-077.0114293,CT,G5020,Census Tract 33.01,27924,20740331303454,3198,11,003301,U
51,1582837,0,94,+38.9368063,-076.9742463,001,S,11001009400,1792,+38.9368063,-076.9742463,CT,G5020,Census Tract 94,27979,20740331305307,4163,11,009400,U
52,1422862,746,95.03,+38.9434458,-076.9845276,001,S,11001009503,1256,+38.9431636,-076.9848993,CT,G5020,Census Tract 95.03,27980,20740331305383,2910,11,009503,U
53,1595269,0,95.01,+38.9418287,-077.0029301,001,S,11001009501,1954,+38.9418287,-077.0029301,CT,G5020,Census Tract 95.01,27981,20740331305366,5797,11,009501,U
54,381868,0,35,+38.9223787,-077.0243413,001,S,11001003500,1189,+38.9223787,-077.0243413,CT,G5020,Census Tract 35,27926,20740331303507,3740,11,003500,U
55,445441,0,32,+38.9322648,-077.0211710,001,S,11001003200,1840,+38.9322648,-077.0211710,CT,G5020,Census Tract 32,27929,20740331303436,4913,11,003200,U
56,917526,159593,34,+38.9214880,-077.0177196,001,S,11001003400,1347,+38.9221781,-077.0175890,CT,G5020,Census Tract 34,27931,20740331303491,4347,11,003400,U
57,287216,0,66,+38.8877565,-076.9982739,001,S,11001006600,1143,+38.8877565,-076.9982739,CT,G5020,Census Tract 66,30500,20740331304216,1909,11,006600,U
58,4589042,5139019,73.01,+38.8405194,-077.0229433,001,S,11001007301,991,+38.8395579,-077.0229510,CT,G5020,Census Tract 73.01,31289,20740331304368,3012,11,007301,U
59,601671,149901,71,+38.8772038,-076.9869877,001,S,11001007100,1461,+38.8773196,-076.9870754,CT,G5020,Census Tract 71,31243,20740331304333,2911,11,007100,U
60,464182,7186,56,+38.9002394,-077.0538405,001,S,11001005600,4059,+38.9002000,-077.0538118,CT,G5020,Census Tract 56,29269,20740331303943,6756,11,005600,U
61,286804,0,48.02,+38.9062237,-077.0189036,001,S,11001004802,1561,+38.9062237,-077.0189036,CT,G5020,Census Tract 48.02,29270,20740331303773,2922,11,004802,U
62,263885,0,49.02,+38.9058868,-077.0243932,001,S,11001004902,1530,+38.9058868,-077.0243932,CT,G5020,Census Tract 49.02,29271,20740331303809,2690,11,004902,U
63,6586936,4983488,62.02,+38.8802243,-077.0353383,001,S,11001006202,8,+38.8809933,-077.0363219,CT,G5020,Census Tract 62.02,29866,20740331304119,33,11,006202,U
64,1240387,11701,73.04,+38.8408874,-076.9851791,001,S,11001007304,1376,+38.8417975,-076.9855623,CT,G5020,Census Tract 73.04,31290,20740331304401,3546,11,007304,U
65,649470,368702,110,+38.8688041,-077.0180034,001,S,11001011000,2673,+38.8681789,-077.0182455,CT,G5020,Census Tract 110,29867,20740331304141,3715,11,011000,U
66,642060,0,59,+38.8959945,-077.0149469,001,S,11001005900,1868,+38.8959945,-077.0149469,CT,G5020,Census Tract 59,29868,20740331304016,2998,11,005900,U
67,910426,0,58,+38.8978713,-077.0250011,001,S,11001005800,2306,+38.8978713,-077.0250011,CT,G5020,Census Tract 58,29869,20740331303995,2830,11,005800,U
68,1884942,180632,96.01,+38.9101925,-076.9443626,001,S,11001009601,847,+38.9091299,-076.9490616,CT,G5020,Census Tract 96.01,28593,20740331305470,2445,11,009601,U
69,1298021,65712,96.02,+38.9013378,-076.9534521,001,S,11001009602,1545,+38.9034201,-076.9515658,CT,G5020,Census Tract 96.02,28594,20740331305488,3280,11,009602,U
70,488070,65762,96.04,+38.8934585,-076.9582324,001,S,11001009604,998,+38.8931572,-076.9585043,CT,G5020,Census Tract 96.04,28604,20740331305523,1962,11,009604,U
71,326358,0,47.02,+38.9008608,-077.0136118,001,S,11001004702,988,+38.9008608,-077.0136118,CT,G5020,Census Tract 47.02,30581,207403711021223,1802,11,004702,U
72,324650,0,47.01,+38.9041493,-077.0136509,001,S,11001004701,2138,+38.9041493,-077.0136509,CT,G5020,Census Tract 47.01,30582,207403711021079,3986,11,004701,U
73,204438,0,50.01,+38.9119217,-077.0295174,001,S,11001005001,1003,+38.9119217,-077.0295174,CT,G5020,Census Tract 50.01,30583,207403711020898,1955,11,005001,U
74,233824,0,50.02,+38.9072785,-077.0293181,001,S,11001005002,3853,+38.9072785,-077.0293181,CT,G5020,Census Tract 50.02,30584,207403711020887,6021,11,005002,U
75,398420,14058,98.10,+38.8272004,-077.0045793,001,S,11001009810,1171,+38.8260370,-077.0037886,CT,G5020,Census Tract 98.10,30585,207403711022114,2507,11,009810,U
76,467504,0,98.11,+38.8266511,-076.9984594,001,S,11001009811,1979,+38.8266511,-076.9984594,CT,G5020,Census Tract 98.11,30586,207403711022113,4365,11,009811,U
77,360152,0,74.06,+38.8555543,-076.9895582,001,S,11001007406,1066,+38.8555543,-076.9895582,CT,G5020,Census Tract 74.06,31297,20740331304466,3063,11,007406,U
78,1368066,312407,72,+38.8750410,-077.0008017,001,S,11001007200,2370,+38.8756862,-077.0013043,CT,G5020,Census Tract 72,31298,20740331304351,2794,11,007200,U
79,813212,0,74.04,+38.8503650,-076.9819920,001,S,11001007404,1308,+38.8503650,-076.9819920,CT,G5020,Census Tract 74.04,31301,20740331304449,3310,11,007404,U
80,1210265,200992,74.01,+38.8645286,-076.9968463,001,S,11001007401,935,+38.8668098,-076.9949201,CT,G5020,Census Tract 74.01,31302,20740331304433,2414,11,007401,U
81,2102151,0,99.01,+38.8753461,-076.9553332,001,S,11001009901,1070,+38.8753461,-076.9553332,CT,G5020,Census Tract 99.01,29903,20740331305686,2249,11,009901,U
82,1294559,0,99.02,+38.8717861,-076.9445542,001,S,11001009902,1292,+38.8717861,-076.9445542,CT,G5020,Census Tract 99.02,29904,20740331305703,2905,11,009902,U
83,200745,0,98.02,+38.8307312,-076.9965578,001,S,11001009802,848,+38.8307312,-076.9965578,CT,G5020,Census Tract 98.02,29905,20740331305668,1693,11,009802,U
84,1010815,2334,3,+38.9175635,-077.0756074,001,S,11001000300,2912,+38.9179099,-077.0748728,CT,G5020,Census Tract 3,29870,20740331304103,6233,11,000300,U
85,688026,246481,64,+38.8685378,-077.0115547,001,S,11001006400,1055,+38.8688572,-077.0114342,CT,G5020,Census Tract 64,29871,20740331304051,2139,11,006400,U
86,504908,0,65,+38.8838476,-077.0033376,001,S,11001006500,1543,+38.8838476,-077.0033376,CT,G5020,Census Tract 65,29872,20740331304183,2531,11,006500,U
87,1242458,136365,102,+38.8824497,-077.0236837,001,S,11001010200,1654,+38.8823937,-077.0230483,CT,G5020,Census Tract 102,29873,20740331304068,2324,11,010200,U
88,379810,20932,39,+38.9254736,-077.0439646,001,S,11001003900,2996,+38.9249705,-077.0439028,CT,G5020,Census Tract 39,28557,20740331303577,4474,11,003900,U
89,788998,29312,41,+38.9156523,-077.0520372,001,S,11001004100,1702,+38.9159337,-077.0516151,CT,G5020,Census Tract 41,28558,20740331303631,2708,11,004100,U
90,236694,0,43,+38.9168040,-077.0341511,001,S,11001004300,2084,+38.9168040,-077.0341511,CT,G5020,Census Tract 43,28559,20740331303682,3255,11,004300,U
91,271887,0,49.01,+38.9113298,-077.0244762,001,S,11001004901,1094,+38.9113298,-077.0244762,CT,G5020,Census Tract 49.01,29272,20740331303791,2087,11,004901,U
92,317491,0,48.01,+38.9117400,-077.0195320,001,S,11001004801,1208,+38.9117400,-077.0195320,CT,G5020,Census Tract 48.01,29273,20740331303752,2143,11,004801,U
93,437142,0,46,+38.9097459,-077.0132983,001,S,11001004600,1465,+38.9097459,-077.0132983,CT,G5020,Census Tract 46,29274,20740331303718,3028,11,004600,U
94,286399,0,53.01,+38.9107790,-077.0389515,001,S,11001005301,3890,+38.9107790,-077.0389515,CT,G5020,Census Tract 53.01,29275,20740331303878,5051,11,005301,U
95,580133,0,101,+38.9026943,-077.0318400,001,S,11001010100,2067,+38.9026943,-077.0318400,CT,G5020,Census Tract 101,29276,20740331303845,2621,11,010100,U
96,891593,0,107,+38.9039989,-077.0419809,001,S,11001010700,1413,+38.9039989,-077.0419809,CT,G5020,Census Tract 107,29277,20740331303893,1838,11,010700,U
97,661579,0,108.00,+38.8973521,-077.0446120,001,S,11001010800,1115,+38.8973521,-077.0446120,CT,G5020,Census Tract 108.00,29278,20740331303960,6408,11,010800,U
98,428320,0,67,+38.8875982,-076.9899596,001,S,11001006700,2008,+38.8875982,-076.9899596,CT,G5020,Census Tract 67,29906,20740331304199,3775,11,006700,U
99,252684,0,99.06,+38.8879464,-076.9359151,001,S,11001009906,756,+38.8879464,-076.9359151,CT,G5020,Census Tract 99.06,29907,20740331305772,1296,11,009906,U
100,431557,0,99.05,+38.8843295,-076.9250522,001,S,11001009905,1330,+38.8843295,-076.9250522,CT,G5020,Census Tract 99.05,29908,20740331305754,2795,11,009905,U
101,629386,9350,55,+38.9076298,-077.0492456,001,S,11001005500,4983,+38.9077913,-077.0493321,CT,G5020,Census Tract 55,30538,20740331305808,6671,11,005500,U
102,244792,0,68.01,+38.8877415,-076.9801091,001,S,11001006801,977,+38.8877415,-076.9801091,CT,G5020,Census Tract 68.01,30539,20740331304250,1949,11,006801,U
103,280108,0,68.02,+38.8832158,-076.9814483,001,S,11001006802,1004,+38.8832158,-076.9814483,CT,G5020,Census Tract 68.02,30540,20740331304268,2084,11,006802,U
104,423352,0,70,+38.8813482,-076.9959084,001,S,11001007000,1268,+38.8813482,-076.9959084,CT,G5020,Census Tract 70,30541,20740331304233,2812,11,007000,U
105,625729,0,96.03,+38.8918473,-076.9479126,001,S,11001009603,1750,+38.8918473,-076.9479126,CT,G5020,Census Tract 96.03,28612,20740331305505,3373,11,009603,U
106,644068,0,95.09,+38.9492070,-076.9949877,001,S,11001009509,1320,+38.9492070,-076.9949877,CT,G5020,Census Tract 95.09,28614,20740331305453,2940,11,009509,U
107,2379832,2936613,109,+38.8116201,-077.0248899,001,S,11001010900,1366,+38.8132450,-077.0238468,CT,G5020,Census Tract 109,29320,20740331305634,3211,11,010900,U
108,2740208,83,104,+38.8490236,-076.9995043,001,S,11001010400,1828,+38.8499425,-077.0004103,CT,G5020,Census Tract 104,29909,20740331305650,4365,11,010400,U
